month_label,uploaded_duration,created_duration,published_duration,Total Uploaded,Total Created,Total Published
"Apr, 2025",65:28:28,98:01:05,01:05:42,533.0,1656.0,44.0
"Aug, 2025",39:56:34,64:31:04,00:06:33,256.0,699.0,7.0
"Dec, 2025",38:15:27,71:41:50,00:14:38,194.0,644.0,7.0
"Feb, 2026",161:52:11,301:30:46,00:56:12,676.0,2756.0,14.0
"Jan, 2026",121:59:42,191:27:32,01:26:44,492.0,1492.0,20.0
"Jul, 2025",33:36:59,66:50:11,00:00:00,284.0,892.0,0.0
"Jun, 2025",47:10:45,84:09:19,00:11:48,239.0,907.0,3.0
"Mar, 2025",122:03:35,176:16:55,00:00:00,639.0,2555.0,0.0
"May, 2025",46:56:53,64:26:46,00:03:52,217.0,642.0,4.0
"Nov, 2025",48:06:54,83:22:47,00:02:13,353.0,943.0,2.0
"Oct, 2025",47:51:24,94:17:09,00:14:55,343.0,1046.0,10.0
"Sep, 2025",34:21:14,58:38:05,00:00:00,227.0,684.0,0.0
